"","data_mes","mutuario_cat","valor_mes","qde","valor_acum"
"1",2016-04-01,"Estado do Rio de Janeiro",41462227.53,5,41462227.53
"2",2016-05-01,"Estado do Rio de Janeiro",251894616.13,14,293356843.66
"3",2016-06-01,"Demais entes",2266689.08,1,2266689.08
"4",2016-06-01,"Estado do Rio de Janeiro",241744104.52,11,535100948.18
"5",2016-07-01,"Demais entes",14924298.99,3,17190988.07
"6",2016-07-01,"Estado do Rio de Janeiro",106886529.67,9,641987477.85
"7",2016-08-01,"Demais entes",8034799.97,3,25225788.04
"8",2016-08-01,"Estado do Rio de Janeiro",147400145.51,11,789387623.36
"9",2016-09-01,"Demais entes",115200124.3,4,140425912.34
"10",2016-09-01,"Estado do Rio de Janeiro",259078627.72,13,1048466251.08
"11",2016-10-01,"Demais entes",7733720.05,4,148159632.39
"12",2016-10-01,"Estado do Rio de Janeiro",384617673.3,16,1433083924.38
"13",2016-11-01,"Demais entes",2198696.59,1,150358328.98
"14",2016-11-01,"Estado do Rio de Janeiro",416391170.79,15,1849475095.17
"15",2016-12-01,"Demais entes",2194644.39,1,152552973.37
"16",2016-12-01,"Estado do Rio de Janeiro",467035348.81,13,2316510443.98
"17",2017-01-01,"Demais entes",2196332.99,1,154749306.36
"18",2017-01-01,"Estado do Rio de Janeiro",265669537.18,11,2582179981.16
"19",2017-02-01,"Demais entes",2199780.45,1,156949086.81
"20",2017-02-01,"Estado do Rio de Janeiro",176944259.8,13,2759124240.96
"21",2017-03-01,"Demais entes",4901528.54,2,161850615.35
"22",2017-03-01,"Estado do Rio de Janeiro",283348822.26,16,3042473063.22
"23",2017-04-01,"Demais entes",2192565.3,1,164043180.65
"24",2017-04-01,"Estado do Rio de Janeiro",252736238.84,16,3295209302.06
"25",2017-05-01,"Demais entes",7754219.73,3,171797400.38
"26",2017-05-01,"Estado do Rio de Janeiro",359646408.76,17,3654855710.82
"27",2017-06-01,"Demais entes",7959304.34,3,179756704.72
"28",2017-06-01,"Estado do Rio de Janeiro",629273646.98,18,4284129357.8
"29",2017-07-01,"Demais entes",7731402.92,3,187488107.64
"30",2017-07-01,"Estado do Rio de Janeiro",112037029.36,7,4396166387.16
"31",2017-08-01,"Demais entes",7763881.76,3,195251989.4
"32",2017-08-01,"Estado do Rio de Janeiro",177871029.46,13,4574037416.62
"33",2017-09-01,"Demais entes",7823622.57,3,203075611.97
"34",2017-09-01,"Estado do Rio de Janeiro",366301119.14,19,4940338535.76
"35",2017-10-01,"Demais entes",7855001.3,3,210930613.27
"36",2017-10-01,"Estado do Rio de Janeiro",355542377.54,15,5295880913.3
"37",2017-11-01,"Demais entes",8011934.62,3,218942547.89
"38",2017-11-01,"Estado do Rio de Janeiro",399387055.16,17,5695267968.46
"39",2017-12-01,"Demais entes",7506897.81,3,226449445.7
"40",2017-12-01,"Estado do Rio de Janeiro",552214464.53,15,6247482432.99
"41",2018-01-01,"Demais entes",4902980,2,231352425.7
"42",2018-01-01,"Estado do Rio de Janeiro",181468043.07,12,6428950476.06
"43",2018-02-01,"Demais entes",2192501.67,1,233544927.37
"44",2018-02-01,"Estado do Rio de Janeiro",145260671.93,13,6574211147.99
"45",2018-03-01,"Demais entes",4901983.33,2,238446910.7
"46",2018-03-01,"Estado do Rio de Janeiro",226358214.15,15,6800569362.14
"47",2018-04-01,"Demais entes",7740023.68,3,246186934.38
"48",2018-04-01,"Estado do Rio de Janeiro",243750092.86,15,7044319455
